,Mean,Median,Choquet,CFminmin,Sugeno,Hamacher Sugeno,F-Sugeno,Min,Max,CF12,OWA1,OWA2,OWA3,CF,GM,SO,HM
Mean,0.7893518518518519,0.767361111111111,0.7893518518518519,0.7597222222222222,0.7597222222222222,0.7530092592592592,0.7928240740740741,0.7932870370370371,0.7932870370370371,0.8236111111111111,0.780324074074074,0.5,0.7932870370370371,0.7840277777777778,0.8236111111111113,0.8400462962962962,0.8224537037037039
Median,0.7310185185185184,0.7152777777777778,0.7451388888888888,0.725,0.7261574074074074,0.7405092592592593,0.7449074074074075,0.7483796296296296,0.7483796296296296,0.7465277777777777,0.7333333333333332,0.5,0.7483796296296296,0.7310185185185185,0.731712962962963,0.7319444444444445,0.7351851851851852
Choquet,0.7893518518518519,0.767361111111111,0.811574074074074,0.7787037037037037,0.7787037037037037,0.7756944444444444,0.8148148148148147,0.819212962962963,0.7462962962962963,0.8377314814814815,0.7976851851851852,0.5,0.819212962962963,0.7872685185185185,0.8412037037037037,0.8465277777777777,0.8430555555555556
CFminmin,0.7634259259259258,0.7451388888888889,0.7949074074074074,0.7460648148148148,0.7460648148148148,0.7546296296296297,0.836574074074074,0.750925925925926,0.6868055555555557,0.5673611111111112,0.7717592592592593,0.5,0.7004629629629628,0.7659722222222222,0.794212962962963,0.8506944444444444,0.7958333333333333
Sugeno,0.7634259259259258,0.7451388888888889,0.7949074074074074,0.7460648148148148,0.7460648148148148,0.7546296296296297,0.836574074074074,0.750925925925926,0.6868055555555557,0.5673611111111112,0.7717592592592593,0.5,0.7011574074074074,0.7659722222222222,0.794212962962963,0.8506944444444444,0.7958333333333333
Hamacher Sugeno,0.8069444444444445,0.7745370370370369,0.8078703703703702,0.7798611111111111,0.7798611111111111,0.7854166666666667,0.8335648148148149,0.7791666666666667,0.679861111111111,0.8486111111111111,0.7974537037037036,0.5,0.7555555555555554,0.8025462962962964,0.8277777777777777,0.8560185185185185,0.8136574074074074
F-Sugeno,0.7962962962962963,0.7692129629629629,0.8162037037037037,0.7831018518518518,0.7831018518518518,0.7863425925925925,0.8252314814814815,0.8261574074074074,0.7282407407407409,0.8409722222222223,0.8074074074074072,0.5,0.8261574074074074,0.79375,0.8446759259259258,0.8456018518518518,0.8465277777777777
Min,0.8178240740740741,0.7784722222222222,0.8340277777777778,0.7863425925925926,0.7863425925925926,0.8000000000000002,0.836111111111111,0.8453703703703704,0.680324074074074,0.8486111111111111,0.813425925925926,0.5,0.8453703703703704,0.80625,0.8497685185185185,0.8497685185185185,0.8493055555555558
Max,0.8178240740740741,0.7784722222222222,0.7567129629629631,0.7016203703703703,0.7016203703703703,0.688888888888889,0.7331018518518518,0.680324074074074,0.8453703703703704,0.7844907407407407,0.7518518518518518,0.5,0.680324074074074,0.798611111111111,0.7875000000000001,0.7875000000000001,0.7655092592592593
CF12,0.7648148148148148,0.7479166666666666,0.8076388888888888,0.763888888888889,0.763888888888889,0.7752314814814814,0.22083333333333335,0.8432870370370372,0.7152777777777777,0.17708333333333331,0.7946759259259258,0.5,0.8432870370370372,0.7523148148148147,0.8405092592592591,0.4287037037037037,0.8465277777777777
OWA1,0.763425925925926,0.7421296296296297,0.7800925925925926,0.7412037037037038,0.7412037037037038,0.7643518518518518,0.7875000000000001,0.7909722222222222,0.7449074074074074,0.787962962962963,0.7668981481481482,0.5,0.7909722222222222,0.7611111111111111,0.783101851851852,0.7868055555555556,0.7895833333333332
OWA2,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
OWA3,0.8178240740740741,0.7784722222222222,0.8340277777777778,0.7863425925925926,0.7863425925925926,0.8000000000000002,0.836111111111111,0.8453703703703704,0.680324074074074,0.8486111111111111,0.813425925925926,0.5,0.8453703703703704,0.80625,0.8497685185185185,0.8497685185185185,0.8493055555555558
CF,0.7837962962962963,0.7585648148148147,0.767824074074074,0.7173611111111111,0.7173611111111111,0.7266203703703703,0.7962962962962963,0.7726851851851853,0.785648148148148,0.8326388888888887,0.7655092592592592,0.5,0.7432870370370371,0.7738425925925926,0.8150462962962962,0.8347222222222224,0.8180555555555558
GM,0.7902777777777779,0.767361111111111,0.8018518518518519,0.7708333333333333,0.7708333333333333,0.7631944444444444,0.8104166666666666,0.8442129629629631,0.7733796296296296,0.8324074074074075,0.7902777777777777,0.5,0.8442129629629631,0.7865740740740741,0.8381944444444445,0.8414351851851853,0.8456018518518518
SO,0.7902777777777779,0.767361111111111,0.8018518518518519,0.7708333333333333,0.7708333333333333,0.7631944444444444,0.7662037037037037,0.8442129629629631,0.7733796296296296,0.16759259259259257,0.7902777777777777,0.5,0.8442129629629631,0.7865740740740741,0.8381944444444445,0.8414351851851853,0.8456018518518518
HM,0.795601851851852,0.7685185185185185,0.8113425925925928,0.7754629629629629,0.7754629629629629,0.7722222222222223,0.8224537037037036,0.8488425925925925,0.7643518518518518,0.8351851851851851,0.7981481481481482,0.5,0.8488425925925925,0.7895833333333333,0.8416666666666666,0.8407407407407407,0.8472222222222223
